,Year,Count_median,Status
0,2018,7200.0,Petients
1,2018,0.0,Petients
2,2018,16000.0,Petients
3,2018,330000.0,Petients
4,2018,140000.0,Petients
5,2018,3500.0,Petients
6,2018,28000.0,Petients
7,2018,0.0,Petients
8,2018,0.0,Petients
9,2018,6000.0,Petients
10,2018,0.0,Petients
11,2018,14000.0,Petients
12,2018,3000.0,Petients
13,2018,27000.0,Petients
14,2018,0.0,Petients
15,2018,4900.0,Petients
16,2018,73000.0,Petients
17,2018,1300.0,Petients
18,2018,22000.0,Petients
19,2018,500.0,Petients
20,2018,370000.0,Petients
21,2018,900000.0,Petients
22,2018,0.0,Petients
23,2018,3500.0,Petients
24,2018,96000.0,Petients
25,2018,82000.0,Petients
26,2018,2400.0,Petients
27,2018,73000.0,Petients
28,2018,540000.0,Petients
29,2018,0.0,Petients
30,2018,110000.0,Petients
31,2018,120000.0,Petients
32,2018,71000.0,Petients
33,2018,0.0,Petients
34,2018,160000.0,Petients
35,2018,200.0,Petients
36,2018,89000.0,Petients
37,2018,15000.0,Petients
38,2018,460000.0,Petients
39,2018,1600.0,Petients
40,2018,31000.0,Petients
41,2018,0.0,Petients
42,2018,4400.0,Petients
43,2018,0.0,Petients
44,2018,450000.0,Petients
45,2018,6200.0,Petients
46,2018,8800.0,Petients
47,2018,70000.0,Petients
48,2018,44000.0,Petients
49,2018,22000.0,Petients
50,2018,25000.0,Petients
51,2018,62000.0,Petients
52,2018,18000.0,Petients
53,2018,7400.0,Petients
54,2018,210000.0,Petients
55,2018,690000.0,Petients
56,2018,0.0,Petients
57,2018,4000.0,Petients
58,2018,180000.0,Petients
59,2018,53000.0,Petients
60,2018,26000.0,Petients
61,2018,9400.0,Petients
62,2018,87000.0,Petients
63,2018,330000.0,Petients
64,2018,0.0,Petients
65,2018,47000.0,Petients
66,2018,120000.0,Petients
67,2018,44000.0,Petients
68,2018,8200.0,Petients
69,2018,160000.0,Petients
70,2018,23000.0,Petients
71,2018,3700.0,Petients
72,2018,500.0,Petients
73,2018,0.0,Petients
74,2018,640000.0,Petients
75,2018,61000.0,Petients
76,2018,7200.0,Petients
77,2018,9000.0,Petients
78,2018,130000.0,Petients
79,2018,40000.0,Petients
80,2018,30000.0,Petients
81,2018,500.0,Petients
82,2018,26000.0,Petients
83,2018,1600000.0,Petients
84,2018,640.0,Petients
85,2018,8500.0,Petients
86,2018,12000.0,Petients
87,2018,5300.0,Petients
88,2018,2500.0,Petients
89,2018,340000.0,Petients
90,2018,39000.0,Petients
91,2018,9200.0,Petients
92,2018,0.0,Petients
93,2018,1200.0,Petients
94,2018,39000.0,Petients
95,2018,1000000.0,Petients
96,2018,87000.0,Petients
97,2018,0.0,Petients
98,2018,150000.0,Petients
99,2018,0.0,Petients
100,2018,5600.0,Petients
101,2018,13000.0,Petients
102,2018,230000.0,Petients
103,2018,600.0,Petients
104,2018,500.0,Petients
105,2018,21000.0,Petients
106,2018,2200000.0,Petients
107,2018,240000.0,Petients
108,2018,200000.0,Petients
109,2018,30000.0,Petients
110,2018,0.0,Petients
111,2018,3600.0,Petients
112,2018,9400.0,Petients
113,2018,36000.0,Petients
114,2018,1900000.0,Petients
115,2018,5800.0,Petients
116,2018,3200.0,Petients
117,2018,160000.0,Petients
118,2018,26000.0,Petients
119,2018,45000.0,Petients
120,2018,21000.0,Petients
121,2018,79000.0,Petients
122,2018,77000.0,Petients
123,2018,0.0,Petients
124,2018,41000.0,Petients
125,2018,0.0,Petients
126,2018,0.0,Petients
127,2018,17000.0,Petients
128,2018,500.0,Petients
129,2018,18000.0,Petients
130,2018,0.0,Petients
131,2018,220000.0,Petients
132,2018,0.0,Petients
133,2018,42000.0,Petients
134,2018,3000.0,Petients
135,2018,70000.0,Petients
136,2018,7900.0,Petients
137,2018,1200.0,Petients
138,2018,0.0,Petients
139,2018,11000.0,Petients
140,2018,7700000.0,Petients
141,2018,190000.0,Petients
142,2018,150000.0,Petients
143,2018,3500.0,Petients
144,2018,59000.0,Petients
145,2018,5600.0,Petients
146,2018,0.0,Petients
147,2018,0.0,Petients
148,2018,660.0,Petients
149,2018,13000.0,Petients
150,2018,480000.0,Petients
151,2018,0.0,Petients
152,2018,110000.0,Petients
153,2018,0.0,Petients
154,2018,2800.0,Petients
155,2018,0.0,Petients
156,2018,0.0,Petients
157,2018,1400000.0,Petients
158,2018,240000.0,Petients
159,2018,0.0,Petients
160,2018,0.0,Petients
161,2018,1600000.0,Petients
162,2018,0.0,Petients
163,2018,14000.0,Petients
164,2018,52000.0,Petients
165,2018,120000.0,Petients
166,2018,230000.0,Petients
167,2018,11000.0,Petients
168,2018,1200000.0,Petients
169,2018,1300000.0,Petients
170,2010,4200.0,Petients
171,2010,0.0,Petients
172,2010,7100.0,Petients
173,2010,220000.0,Petients
174,2010,110000.0,Petients
175,2010,3300.0,Petients
176,2010,21000.0,Petients
177,2010,0.0,Petients
178,2010,0.0,Petients
179,2010,5800.0,Petients
180,2010,0.0,Petients
181,2010,7700.0,Petients
182,2010,2300.0,Petients
183,2010,12000.0,Petients
184,2010,0.0,Petients
185,2010,3700.0,Petients
186,2010,61000.0,Petients
187,2010,1300.0,Petients
188,2010,23000.0,Petients
189,2010,200.0,Petients
190,2010,340000.0,Petients
191,2010,670000.0,Petients
192,2010,0.0,Petients
193,2010,1700.0,Petients
194,2010,110000.0,Petients
195,2010,93000.0,Petients
196,2010,2100.0,Petients
197,2010,79000.0,Petients
